CHROMOSOME	INTERVAL	NUM_HITS	MUTATION_RATE
20	[37294507, 37295554]	12	0.011450381679389313
20	[30249227, 30250372]	2	0.0017452006980802793
20	[58342866, 58342990]	1	0.008
20	[35049954, 35050556]	7	0.011608623548922056
20	[60493651, 60493925]	3	0.01090909090909091
20	[43919471, 43919924]	2	0.004405286343612335
20	[651933, 653959]	13	0.006413418845584608
20	[49094785, 49095190]	3	0.007389162561576354
20	[51797540, 51797862]	2	0.006191950464396285
20	[45989266, 45989921]	1	0.001524390243902439
20	[62776875, 62777237]	2	0.005509641873278237
20	[47964433, 47964645]	1	0.004694835680751174
20	[60988297, 60988469]	1	0.005780346820809248
20	[61691716, 61691866]	1	0.006622516556291391
20	[48951645, 48952090]	1	0.002242152466367713
1	[110648512, 110649381]	7	0.008045977011494253
1	[91172215, 91173372]	10	0.008635578583765112
1	[227161201, 227161526]	2	0.006134969325153374
1	[207693004, 207694030]	5	0.004868549172346641
1	[156426149, 156427640]	9	0.006032171581769437
1	[46987848, 46988920]	4	0.003727865796831314
1	[1954436, 1956046]	7	0.004345127250155183
1	[45501338, 45501755]	3	0.007177033492822967
1	[27097995, 27098757]	3	0.003931847968545216
1	[37875615, 37876770]	11	0.009515570934256055
1	[207627850, 207628309]	2	0.004347826086956522
1	[27070401, 27070985]	2	0.003418803418803419
1	[228253096, 228253525]	5	0.011627906976744186
1	[9326144, 9326417]	1	0.0036496350364963502
1	[6330112, 6330424]	1	0.003194888178913738
1	[10750506, 10751079]	2	0.003484320557491289
1	[58902488, 58902999]	6	0.01171875
1	[29460252, 29461137]	3	0.003386004514672686
1	[65743304, 65743852]	2	0.0036429872495446266
1	[208166871, 208167183]	2	0.006389776357827476
1	[226115938, 226116590]	2	0.0030627871362940277
1	[31711847, 31712155]	2	0.006472491909385114
1	[9589261, 9589646]	2	0.0051813471502590676
1	[160162760, 160163528]	3	0.0039011703511053317
1	[198650969, 198651239]	2	0.007380073800738007
1	[22487760, 22487888]	1	0.007751937984496124
1	[116710820, 116711712]	1	0.0011198208286674132
1	[37860726, 37861049]	2	0.006172839506172839
1	[116220210, 116220566]	1	0.0028011204481792717
14	[101072074, 101073047]	7	0.007186858316221766
14	[103571149, 103571981]	6	0.007202881152460984
14	[23322001, 23323055]	4	0.0037914691943127963
14	[34308829, 34309160]	1	0.0030120481927710845
14	[67903203, 67903481]	1	0.0035842293906810036
7	[155149289, 155149932]	3	0.004658385093167702
7	[137693538, 137693855]	3	0.009433962264150943
7	[167712, 168623]	8	0.008771929824561403
7	[1572163, 1573111]	2	0.002107481559536354
7	[139119080, 139119758]	4	0.005891016200294551
7	[152569205, 152570077]	6	0.006872852233676976
7	[30102196, 30102568]	2	0.005361930294906166
7	[155588073, 155588602]	1	0.0018867924528301887
7	[155137078, 155138270]	9	0.0075440067057837385
7	[106647453, 106648219]	7	0.009126466753585397
7	[659800, 660055]	2	0.0078125
7	[66022340, 66023586]	6	0.0048115477145148355
7	[150693392, 150694562]	5	0.004269854824935952
7	[120970532, 120970848]	3	0.00946372239747634
7	[127857061, 127857414]	2	0.005649717514124294
7	[73720989, 73721804]	2	0.0024509803921568627
7	[73684098, 73684662]	3	0.005309734513274336
7	[75410033, 75410424]	4	0.01020408163265306
7	[25891227, 25891631]	1	0.0024691358024691358
7	[100485059, 100486137]	2	0.0018535681186283596
7	[153736825, 153737251]	2	0.00468384074941452
7	[23736539, 23737093]	1	0.0018018018018018018
7	[12513783, 12513823]	1	0.024390243902439025
19	[42820408, 42821391]	4	0.0040650406504065045
19	[18204222, 18204728]	1	0.0019723865877712033
19	[18895661, 18897057]	6	0.004294917680744453
19	[10206466, 10207512]	3	0.0028653295128939827
19	[19215925, 19217059]	6	0.0052863436123348016
19	[56097296, 56097373]	1	0.01282051282051282
19	[10805930, 10806960]	3	0.002909796314258002
19	[41146515, 41146956]	2	0.004524886877828055
19	[7804951, 7805500]	6	0.01090909090909091
19	[41633617, 41634187]	3	0.005253940455341506
19	[42296992, 42297428]	3	0.006864988558352402
19	[59092436, 59092932]	3	0.006036217303822937
19	[5377482, 5377939]	3	0.006550218340611353
19	[55735792, 55735863]	1	0.013888888888888888
19	[15353274, 15353569]	1	0.0033783783783783786
19	[424051, 424475]	3	0.007058823529411765
6	[58300984, 58301280]	3	0.010101010101010102
6	[31606851, 31607619]	3	0.0039011703511053317
6	[39277377, 39278780]	8	0.005698005698005698
6	[7899204, 7900410]	8	0.006628003314001657
6	[44169534, 44169949]	4	0.009615384615384616
