CHROMOSOME	INTERVAL	NUM_HITS	MUTATION_RATE
22	[26296949, 26297269]	1	0.003115264797507788
22	[20110193, 20111051]	1	0.0011641443538998836
7	[44387886, 44388310]	2	0.004705882352941176
4	[37189802, 37189927]	2	0.015873015873015872
6	[78360083, 78360379]	7	0.02356902356902357
6	[73270575, 73271211]	7	0.01098901098901099
6	[170604186, 170605394]	4	0.0033085194375516956
6	[100194205, 100194509]	4	0.013114754098360656
6	[130088355, 130088796]	1	0.0022624434389140274
12	[131692567, 131693178]	1	0.0016339869281045752
12	[48226709, 48227766]	4	0.003780718336483932
12	[133097874, 133098627]	3	0.003978779840848806
12	[32158371, 32158901]	1	0.0018832391713747645
19	[719882, 720572]	2	0.002894356005788712
19	[50059043, 50059872]	3	0.0036144578313253013
19	[34735597, 34735793]	1	0.005076142131979695
8	[143890756, 143890884]	1	0.007751937984496124
1	[244102609, 244102940]	7	0.02108433734939759
1	[1464522, 1464973]	1	0.0022123893805309734
1	[156773050, 156773753]	2	0.002840909090909091
15	[91191298, 91192359]	3	0.002824858757062147
10	[43149868, 43150277]	3	0.007317073170731708
10	[5520015, 5520664]	4	0.006153846153846154
21	[35855693, 35856436]	3	0.004032258064516129
5	[108804425, 108804882]	3	0.006550218340611353
5	[173179719, 173180051]	1	0.003003003003003003
3	[13001406, 13001667]	1	0.003816793893129771
16	[71393433, 71393592]	1	0.00625
14	[21323731, 21324246]	2	0.003875968992248062
11	[267953, 268471]	1	0.0019267822736030828
11	[63764977, 63765676]	1	0.0014285714285714286
17	[16147083, 16147479]	2	0.005037783375314861
13	[48640918, 48640975]	1	0.017241379310344827
