CHROMOSOME	INTERVAL	NUM_HITS	MUTATION_RATE
1	[2572292, 2575356]	10	0.0032626427406199023
1	[21901152, 21901665]	5	0.009727626459143969
1	[19732605, 19732744]	1	0.007142857142857143
1	[54586188, 54588432]	12	0.005345211581291759
1	[149764462, 149764734]	1	0.003663003663003663
1	[47201372, 47201792]	4	0.009501187648456057
1	[173990673, 173992087]	7	0.0049469964664310955
1	[23120874, 23120985]	2	0.017857142857142856
1	[2265455, 2267855]	20	0.008329862557267805
1	[4060918, 4061416]	13	0.026052104208416832
1	[165176954, 165177484]	4	0.007532956685499058
1	[180877416, 180877622]	1	0.004830917874396135
1	[92117116, 92117579]	4	0.008620689655172414
1	[110319379, 110319999]	5	0.008051529790660225
1	[120674333, 120674870]	3	0.0055762081784386614
1	[161410089, 161410408]	2	0.00625
1	[2472004, 2474362]	11	0.0046629927935565915
1	[230501842, 230501901]	1	0.016666666666666666
1	[155043237, 155043954]	4	0.005571030640668524
1	[20998332, 20998885]	3	0.005415162454873646
1	[118116147, 118116510]	5	0.013736263736263736
1	[201678516, 201679045]	1	0.0018867924528301887
1	[5408910, 5409116]	4	0.01932367149758454
1	[993480, 995423]	16	0.00823045267489712
1	[165112660, 165113084]	2	0.004705882352941176
1	[3462214, 3462841]	2	0.0031847133757961785
1	[240256096, 240256563]	11	0.023504273504273504
1	[33199525, 33199893]	2	0.005420054200542005
1	[53967517, 53967801]	4	0.014035087719298246
1	[157933443, 157933833]	2	0.005115089514066497
1	[182269023, 182269685]	3	0.004524886877828055
1	[116249449, 116249740]	1	0.003424657534246575
1	[2509125, 2510148]	7	0.0068359375
1	[19051821, 19052037]	2	0.009216589861751152
1	[68236926, 68237278]	2	0.0056657223796034
1	[915652, 916435]	2	0.002551020408163265
1	[41976351, 41976550]	2	0.01
1	[44043277, 44044622]	3	0.002228826151560178
1	[3244594, 3244974]	6	0.015748031496062992
1	[18711782, 18712230]	2	0.004454342984409799
1	[53974779, 53975746]	7	0.007231404958677686
1	[117367899, 117368988]	10	0.009174311926605505
1	[22599028, 22599258]	1	0.004329004329004329
1	[3621836, 3622778]	6	0.006362672322375398
1	[151943176, 151943441]	2	0.007518796992481203
1	[184740392, 184740746]	3	0.008450704225352112
1	[155607201, 155607484]	1	0.0035211267605633804
1	[1080444, 1081290]	4	0.004722550177095631
1	[25174351, 25175361]	2	0.0019782393669634025
1	[94466185, 94466305]	4	0.03305785123966942
1	[32423357, 32423852]	4	0.008064516129032258
1	[16073819, 16074193]	1	0.0026666666666666666
1	[32196618, 32197446]	4	0.0048250904704463205
1	[78443844, 78444203]	1	0.002777777777777778
1	[110504243, 110504504]	2	0.007633587786259542
1	[167604378, 167604978]	3	0.004991680532445923
1	[181158820, 181160054]	8	0.006477732793522267
1	[28422781, 28423094]	1	0.0031847133757961785
1	[52096741, 52096846]	1	0.009433962264150943
1	[205206795, 205207817]	2	0.0019550342130987292
1	[2999669, 3000039]	6	0.016172506738544475
1	[200746165, 200746342]	1	0.0056179775280898875
1	[7674022, 7674188]	1	0.005988023952095809
1	[24077760, 24078170]	3	0.0072992700729927005
1	[201672726, 201673753]	5	0.0048638132295719845
1	[40771154, 40771545]	1	0.002551020408163265
1	[146522165, 146522436]	3	0.011029411764705883
1	[2391194, 2391789]	4	0.006711409395973154
1	[234458694, 234459130]	2	0.004576659038901602
1	[16387866, 16388546]	4	0.005873715124816446
1	[85048869, 85049316]	1	0.002232142857142857
1	[156897026, 156898093]	2	0.0018726591760299626
1	[151263219, 151263519]	1	0.0033222591362126247
1	[202594507, 202594943]	2	0.004576659038901602
1	[157166691, 157167461]	3	0.0038910505836575876
1	[31868390, 31868561]	1	0.005813953488372093
1	[24519642, 24519862]	4	0.01809954751131222
1	[246956734, 246956944]	3	0.014218009478672985
1	[201008594, 201008907]	3	0.009554140127388535
1	[226664765, 226664866]	1	0.00980392156862745
1	[6131821, 6132050]	3	0.013043478260869565
1	[21919414, 21919761]	4	0.011494252873563218
1	[24542873, 24543043]	2	0.011695906432748537
1	[87586467, 87586814]	2	0.005747126436781609
1	[206939618, 206940186]	2	0.0035149384885764497
1	[207981093, 207981278]	2	0.010752688172043012
1	[228534712, 228534880]	2	0.011834319526627219
1	[3396536, 3397085]	2	0.0036363636363636364
1	[3638439, 3638647]	1	0.004784688995215311
1	[12111965, 12112590]	1	0.001597444089456869
1	[24691714, 24692436]	2	0.0027662517289073307
1	[167570646, 167571047]	1	0.0024875621890547263
1	[149046616, 149046732]	2	0.017094017094017096
1	[211395955, 211396152]	2	0.010101010101010102
1	[42347683, 42348131]	2	0.004454342984409799
1	[156458800, 156459504]	1	0.0014184397163120568
1	[2357306, 2357560]	2	0.00784313725490196
1	[154404148, 154404391]	2	0.00819672131147541
1	[23750130, 23750456]	1	0.0030581039755351682
1	[1974410, 1974562]	3	0.0196078431372549
1	[149379542, 149379820]	1	0.0035842293906810036
1	[201450845, 201451662]	1	0.0012224938875305623
1	[23543186, 23544258]	2	0.001863932898415657
